title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
F36050 高级大型望远镜，高品质折射望远镜，价格实惠，适合儿童清晰观测星空和月亮,F36050 高级大型望远镜，高品质折射望远镜，价格实惠，适合儿童清晰观测星空和月亮,51,https://cf.shopee.vn/file/vn-11134207-7ra0g-m9x52sp2x1fm51,http://shopee.vn/product/63082962/7949124430,玩具,益智类玩具,IVCN202512251890,30777435781,https://detail.1688.com/offer/550276435200.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i12&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,爆品竞价,1月前,7949124430,51,高价品,,科技玩具
儿童爵士鼓套装乐器 儿童玩具,蓝色的,33.6,https://cf.shopee.ph/file/769de3231492520658c6402e4892cd3c,http://shopee.ph/product/525262198/20512925400,玩具,益智类玩具,IVCN202512252102,68878458520,https://detail.1688.com/offer/655163243285.html?spm=a26352.b28411319/2508.0.0,1688三档价,2月前,20512925400,33.6,高价品,,音乐玩具
JIVE 现代粉白日式木制厨房和洗衣房玩具套装,JIVE 现代粉白日式木制厨房和洗衣房玩具套装,191.29,https://cf.shopee.ph/file/8f50d2b8b1ef06fe0efe5c18abde4f41,http://shopee.ph/product/43801505/3415556791,玩具,过家家玩具,IVCN202512252146,80024379549,https://detail.1688.com/offer/685435887811.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2146938717660518169886130e0ea1&token=AkXLdzqZr%2FyhEDnt4m59nqReGMmEA6j8H3BoP%2BceQNh3cVLP9VTjs61jmeAGkKEY,1688三档价,2月前,3415556791,191.29,低价品,,
原装Amoeba Box，12盒装 - 不容错过！,原装Amoeba Box，12盒装 - 不容错过！,34.69,https://cf.shopee.com.br/file/br-11134201-22120-6j950po1mkkv76,http://shopee.com.br/product/334724967/8585346239,玩具,史莱姆与按压玩具,IVCN202512252164,83910710138,https://detail.1688.com/offer/838542871479.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2月前,8585346239,34.69,低价品,,
会呼吸、会发光、会播放音乐、会动的毛绒耶稣像。,红色的,19,https://cf.shopee.com.br/file/br-11134207-81z1k-mgtp0nlezkec02,http://shopee.com.br/product/1664611038/22299143236,玩具,娃娃与毛绒玩具,IVCN202512252416,12345544545,https://detail.1688.com/offer/929674299746.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2月前,22299143236,19,中价品,,毛绒玩具
MAM Air 安抚奶嘴 6个月以上 双层硅胶奶嘴 男童款 2个装 原装,MAM Air 安抚奶嘴 6个月以上 双层硅胶奶嘴 男童款 2个装 原装,2.2,https://cf.shopee.com.br/file/br-11134207-7r98o-m9u57s9uchtl2d,http://shopee.com.br/product/318166823/6659132335,哺育必备品,奶嘴,IVCN202512251860,22375879937,https://detail.1688.com/offer/760750243332.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,3月19日,6659132335,2.2,中价品,,
🔥最新设计🔥 SMARTGO 高级婴儿提篮式汽车座椅,皇家蓝,145,https://cf.shopee.com.my/file/my-11134207-7rase-m8x39rebr011d6,http://shopee.com.my/product/196820815/21282357986,婴儿外出用品,婴儿背带,IVCN202512252064,59682877164,https://detail.1688.com/offer/798425382094.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bb405a417663761147672677e0f5e&token=jXvVnnocmkRFLdrXjIAxdEKvLy2b83pntnUZIqQzVP2SewXbOXZvFDH%2Bmeru7kM0,爆品竞价,3月19日,21282357986,145,中价品,,
JOYLEE® 第三代鼻腔清洁器 - 即刻缓解，轻松清洁，减轻鼻部不适,JOYLEE® 第三代鼻腔清洁器 - 即刻缓解，轻松清洁，减轻鼻部不适,55,https://cf.shopee.com.my/file/my-11134207-7r98x-lygev147frkw2d,http://shopee.com.my/product/60258759/8269483543,婴儿保健食品,鼻腔护理用品,IVCN202512252110,69370647949,https://detail.1688.com/offer/798665974542.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,3月18日,8269483543,55,中价品,,
Bebamour 针织婴儿背带 轻便婴儿背巾 3 合 1 婴儿背带（白色）,灰色的,49,https://cf.shopee.vn/file/cn-11134207-7r98o-lswbnfcmxfj18d,http://shopee.vn/product/823894874/25559141225,婴儿外出用品,婴儿背带,IVCN202512252112,69754162942,https://detail.1688.com/offer/616240689747.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=1488b0d8296a4e4893f118ef4e946e1f&sessionid=b2bee3fd58c74298f70d58b907623066,爆品竞价,3月18日,25559141225,49,高价品,,
双侧电动吸奶器，PPSU塑料材质 - Resonance 3 Plus - FB1161VN,双侧电动吸奶器，PPSU塑料材质 - Resonance 3 Plus - FB1161VN,49.9,https://cf.shopee.vn/file/vn-11134207-7r98o-lo98xdzyzbm321,http://shopee.vn/product/50413307/9312822369,哺育必备品,哺乳用品,IVCN202512252152,80843468195,https://detail.1688.com/offer/897635666930.html?kj_agent_plugin=aliprice&fromkv=xytTrace:210702e017660500458086625e0e84&token=bggFlatGm67yVcUG%2Buvbtx1%2BeILELSCpX%2FwgCywqdYRxCYTbXa98krczaFtp1HxW,1688三档价,2月1日,9312822369,49.9,高价品,,
