title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
Elise Original 100% 纯手工假睫毛,5194,8,https://cf.shopee.com.my/file/my-11134207-7r991-lnv64j57se6498,http://shopee.com.my/product/16036138/367148888,美容工具,化妆配件,IVCN2026032516218,280696618,https://detail.1688.com/offer/44836007302.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,3月30日,367148888,8,高价品,,假睫毛
Gladking 25毫米持久卷发棒,25毫米黑色,33,https://cf.shopee.ph/file/a51a200151f7748fb78e90b87fb5118c,http://shopee.ph/product/21326400/390651126,美容工具,美发工具,IVCN2026032516220,320876245,https://detail.1688.com/offer/641387191710.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,3月30日,390651126,33,高价品,,美发造型工具
Gladking 38mm 持久耐用数码卷发棒 黑色卷发器,黑色的,19.8,https://cf.shopee.ph/file/3911ff58b071d17363247dab530845b5,http://shopee.ph/product/21326400/380656061,美容工具,美发工具,IVCN202603302625,321069231,https://detail.1688.com/offer/640262444132.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,3月30日,380656061,19.8,高价品,,美发造型工具
PL701 可调节温度直发器、卷发棒和造型工具,伸舌,8.12,https://cf.shopee.vn/file/ad496ec6a7a2aeaacdf21a614004c94f,http://shopee.vn/product/28869521/452050063,美容工具,美发工具,IVCN2026032516223,350197442,https://detail.1688.com/offer/678911882761.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=1d3c4806f08b881dcba6d3e1b7d0294d,倒算价,3月30日,452050063,8.12,高价品,,美发造型工具
Gladking 二合一陶瓷直发器和卷发器,绿色的,38,https://cf.shopee.ph/file/ed9dacef04680b60b2d473c74c688c17,http://shopee.ph/product/21326400/456543689,美容工具,美发工具,IVCN2026032516225,638241205,https://detail.1688.com/offer/682649886535.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i12&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,3月30日,456543689,38,高价品,,美发造型工具
家用型、大功率、理发店用冷热风离子吹风机,D,35,https://cf.shopee.com.my/file/42b7810a2cd1b827e4c62b80301abd10,http://shopee.com.my/product/40212425/966962590,美容工具,美发工具,IVCN2026032516228,1765146298,https://detail.1688.com/offer/890595243314.html?k,1688三档价,3月30日,966962590,35,高价品,,吹风机
AMGO 大型双层化妆品收纳盒/化妆工具盒/化妆包 - 黑色,黑色的,53.19,https://cf.shopee.com.my/file/bcc2f887de10fd383171511f0f994019,http://shopee.com.my/product/33519915/1547118056,美容工具,化妆配件,IVCN2026032516230,2311472888,https://detail.1688.com/offer/909385335258.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,倒算价,3月30日,1547118056,53.19,高价品,,化妆包和收纳盒
电动冷热按摩锤，带生物光疗功能 D002，用于精华液吸收、皮肤清洁和面部按摩 - 12 个月保修,正在加载...,51.32,https://cf.shopee.vn/file/vn-11134207-7r98o-lz8s7okczo7hb5,http://shopee.vn/product/19701657/1699282953,美容工具,面部护理工具,IVCN2026032516232,2747848467,https://detail.1688.com/offer/620640341714.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,倒算价,3月30日,1699282953,51.32,高价品,,面部瘦身按摩工具
电动冷热按摩锤，带生物光疗功能 D002，用于精华液吸收、皮肤清洁和面部按摩 - 12 个月保修,金铜奖,71.31,https://cf.shopee.vn/file/vn-11134207-7r98o-lz8s7y0iqffld3,http://shopee.vn/product/19701657/1699282953,美容工具,面部护理工具,IVCN2026032516232,2747848468,https://detail.1688.com/offer/565838865691.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,倒算价,3月30日,1699282953,71.31,高价品,,面部瘦身按摩工具
360°Rotate Cosmetic Makeup Transparent Storage Box Extra Large Rotating Rack Organizer可旋转化妆笔收纳盒,透明的,17,https://cf.shopee.com.my/file/5dac20ed132005a3ff868a7e290096e7,http://shopee.com.my/product/63986963/1758531471,美容工具,化妆配件,IVCN2026032516235,2915216835,https://detail.1688.com/offer/646452383900.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,倒算价,3月30日,1758531471,17,高价品,,化妆包和收纳盒
COMEDO黑头吸出仪，去除白头、黑头、皮脂，清洁毛孔，韩国产超强迷你手持设备,白色的,48,https://cf.shopee.vn/file/0945757b748e62c69337876b949bf841,http://shopee.vn/product/19701657/1758325724,美容工具,面部护理工具,IVCN2026032516237,3049710597,https://detail.1688.com/offer/806796442065.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2146915b17564569011621341e10cf&token=uk3f9oTPrEraYQNXLfA46mpaSw96NnkVfmFUApOQpJIRUOOPV21sPh1KAwgsOzjZ,1688三档价,3月30日,1758325724,48,高价品,,其他的
COMEDO黑头吸出仪，去除白头、黑头、皮脂，清洁毛孔，韩国产超强迷你手持设备,正在加载...,56.2,https://cf.shopee.vn/file/vn-11134207-7r98o-lyxg2pkofi31c0,http://shopee.vn/product/19701657/1758325724,美容工具,面部护理工具,IVCN2026032516237,3049710598,https://detail.1688.com/offer/570263641862.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,倒算价,3月30日,1758325724,56.2,高价品,,其他的
NAGARAKU 专业仿貂毛单根假睫毛，柔软貂毛睫毛嫁接（16 片）,0.05 D，11毫米,6.57,https://cf.shopee.com.my/file/cn-11134207-7r98o-lun7dk2yqgn470,http://shopee.com.my/product/69009900/1156783514,美容工具,化妆配件,IVCN2026032516240,3213867190,https://detail.1688.com/offer/579865861030.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,倒算价,3月30日,1156783514,6.57,中价品,,假睫毛
NAGARAKU 专业仿貂毛单根假睫毛，柔软貂毛睫毛嫁接（16 片）,0.05 D，12毫米,6.57,https://cf.shopee.com.my/file/cn-11134207-7r98o-lun7dk2yqgn470,http://shopee.com.my/product/69009900/1156783514,美容工具,化妆配件,IVCN2026032516240,3213867191,https://detail.1688.com/offer/579865861030.html?,倒算价,3月30日,1156783514,6.57,中价品,,假睫毛
